query_duration,query_stream_id,query_id,data_scanned,cpu_time
4.372,8,15,630.71,324730
4.378,2,22,6.29,19820
7.042,8,5,328.42,46333
4.579,8,17,266.05,297010
3.67,3,22,6.29,19820
3.804,3,22,6.29,19820
5.907,8,7,373.81,427630
3.054,8,13,137.23,1022140
8.97,11,7,987.98,1038530
3.463,5,15,251.44,139170
4.337,8,14,313.68,203000
10.909,15,9,4096.0,7543150
5.227,3,3,38.94,112050
6.426,3,5,41.06,6619
4.14,8,12,231.89,449400
6.112,9,14,448.46,290000
4.1,3,10,37.8,95110
3.232,8,6,230.65,122430
3.723,8,19,309.56,361060
3.032,0,1,36.89,149560
3.727,8,16,22.34,229530
3.434,8,4,171.69,407330
3.605,8,22,46.48,138740
7.241,19,22,2775.04,7055920
5.504,15,13,1198.08,8615180
6.779,12,17,894.38,975890
3.415,3,19,51.4,51580
27.646,19,18,10874.88,73222080
5.955,8,5,328.42,46333
6.63,8,8,441.41,472360
4.608,2,14,52.0,29000
6.309,3,20,53.74,46310
29.875,19,18,10874.88,73222080
4.254,3,14,52.0,29000
5.335,8,20,358.53,324170
3.51,8,14,313.68,203000
4.001,8,6,230.65,122430
7.425,8,21,680.89,791980
4.67,3,7,47.45,61090
3.906,8,3,274.96,784350
5.64,3,7,47.45,61090
4.84,5,3,117.33,336150
5.812,5,16,11.25,98370
6.316,8,12,231.89,449400
4.762,8,2,79.16,386050
3.318,7,14,220.66,145000
4.842,8,11,89.68,110040
6.562,8,3,274.96,784350
4.321,8,11,89.68,110040
4.92,8,3,274.96,784350
3.533,8,19,309.56,361060
4.99,5,17,110.57,127290
4.583,15,12,1986.56,3787800
11.221,19,19,17059.84,18362480
5.119,5,10,113.55,285330
5.556,12,3,920.39,2577150
4.996,3,9,71.45,127850
4.593,8,17,266.05,297010
4.629,8,3,274.96,784350
3.257,3,12,33.19,64200
4.49,8,10,266.13,665770
4.838,8,16,22.34,229530
5.067,3,20,53.74,46310
3.518,8,22,46.48,138740
3.774,5,19,129.23,154740
5.73,3,2,10.0,55150
5.144,3,7,47.45,61090
4.501,3,3,38.94,112050
4.501,5,10,113.55,285330
5.44,3,14,52.0,29000
4.804,8,21,680.89,791980
5.471,8,3,274.96,784350
6.149,15,16,68.05,1934610
4.759,5,5,130.69,19857
4.474,15,14,2775.04,1711000
4.172,5,11,42.57,47160
12.211,13,21,2856.96,3507340
3.895,8,12,231.89,449400
6.379,15,4,1474.56,3433210
3.831,5,22,19.48,59460
5.504,5,11,42.57,47160
6.583,5,8,175.68,202440
4.597,13,12,1034.24,1990200
3.689,8,6,230.65,122430
4.683,8,3,274.96,784350
4.88,3,11,12.18,15720
4.019,3,11,12.18,15720
5.613,3,21,80.86,113140
6.182,2,8,64.36,67480
15.227,19,10,14151.68,33859160
4.372,11,19,764.9,876860
17.9,8,9,492.09,894950
3.844,8,6,230.65,122430
5.626,8,21,680.89,791980
4.498,5,16,11.25,98370
4.026,8,12,231.89,449400
4.176,8,14,313.68,203000
